Drug	Drug code	Drug category	Drug sub-category	Generation	Wave	Company code
atazanavir	ATV	PI	NULL	NULL	NULL	NULL
darunavir	DRV	PI	NULL	NULL	NULL	NULL
fosamprenavir	FPV	PI	NULL	NULL	NULL	NULL
indinavir	IDV	PI	NULL	NULL	NULL	NULL
lopinavir	LPV	PI	NULL	NULL	NULL	NULL
nelfinavir	NFV	PI	NULL	NULL	NULL	NULL
SQV	SQV	PI	NULL	NULL	NULL	NULL
TPV	TPV	PI	NULL	NULL	NULL	NULL
lamivudine	3TC	NRTI	NULL	NULL	NULL	NULL
emtricitabine	FTC	NRTI	NULL	NULL	NULL	NULL
abacavir	ABC	NRTI	NULL	NULL	NULL	NULL
didanosine	DDI	NRTI	NULL	NULL	NULL	NULL
tenofovir	TDF	NRTI	NULL	NULL	NULL	NULL
stavudine	D4T	NRTI	NULL	NULL	NULL	NULL
zidovudine	ZDV	NRTI	NULL	NULL	NULL	NULL
nevirapine	NVP	NNRTI	NULL	NULL	NULL	NULL
efavirenz	EFV	NNRTI	NULL	NULL	NULL	NULL
etravirine	ETR	NNRTI	NULL	NULL	NULL	NULL
Rilpivirine	RPV	NNRTI	NULL	NULL	NULL	NULL
